id_inserm;Geo_X;Geo_Y
8012484;593167;2435421
8012487;581332;2427220
8012490;569382;2443885
8012493;593395;2425557
8012735;555917;2444554
8012739;620624;2438316
8012792;583205;2449439
8012795;599223;2431379
8012798;585002;2448508
8012809;603718;2445294
8012810;599893;2426892
8012817;609007;2424019
8012833;595933;2429609
8012895;598388;2420430
8012896;581359;2430793
8012897;602166;2425887
8012899;649464;2395007
8012900;604710;2417492
8013014;608565;2437434
8013018;598944;2426025
8013019;589424;2430463
8013020;560301;2443287
8013029;598838;2431975
8013032;612595;2431095
8013033;597184;2420964
8013034;580238;2451048
8013043;592874;2438733
8013068;607582;2423596
8013079;605294;2416216
8013080;599414;2424101
8013081;597764;2420027
8013082;602693;2392164
8013083;616032;2432878
8013084;601041;2422928
8013085;592676;2435594
8013087;592183;2427510
8013088;609284;2415168
8013089;614443;2431162
8013091;580553;2422675
8013092;613299;2402609
8013093;601258;2431214
8013097;615839;2382930
8013110;604851;2433839
8013118;664841;2418112
8013129;602742;2444179
8013130;564359;2405944
8013131;602374;2436481
8013204;626227;2363956
8013205;611872;2431052
8013320;613126;2455778
8013326;617045;2436546
8013330;584719;2423991
8013331;604754;2427392
8013332;654430;2439842
8013342;577647;2419505
8013343;615061;2434368
8013349;571678;2419068
8013355;593703;2419827
8013356;604703;2429386
8013360;594471;2420092
8013406;616604;2398462
8013407;605289;2427321
8013445;592581;2397886
8013477;601008;2432578
8013478;604792;2435093
8013480;612114;2434094
8013481;594046;2442517
8013488;614892;2436162
8013556;615672;2403676
8013557;588507;2435233
8013575;589684;2432728
8013594;617021;2438989
8013634;541171;2440569
8013635;605908;2408940
8013636;607639;2411504
8013638;602657;2442226
8013639;580870;2443960
8013640;603274;2438155
8013641;594852;2434359
8013642;588842;2436201
8013643;600465;2424971
8013649;617303;2430423
8013650;605383;2418507
8013676;594961;2423205
8013700;618162;2399397
8013705;615862;2422912
8013706;595547;2424177
8013710;592263;2445080
8013753;634214;2412726
8013810;611388;2424863
8013816;596139;2426912
8013817;581699;2443930
8013860;604737;2432965
8013874;604308;2441660
8013886;581034;2414553
8013887;602183;2431230
8013891;601588;2420621
8013895;594693;2424066
8013900;586404;2429380
8013901;591137;2417052
8013902;626627;2432441
8013903;608756;2399146
8013905;600239;2431638
8013908;586118;2381181
8013909;593255;2442460
8013910;624072;2434672
8013980;592984;2433927
8013984;581353;2430660
8013985;604384;2431546
8013989;586220;2437196
8013990;599798;2441460
8013991;625693;2392336
8014048;615817;2427354
8014101;602308;2438519
8014210;617641;2426821
8014250;597474;2415594
8014252;590166;2438450
8014254;596125;2426901
8014258;576009;2426284
8014259;591224;2433526
8014356;594529;2416853
8014408;580331;2381942
8014430;623913;2450474
8014445;595202;2431595
8014464;603184;2444993
8014465;600882;2432048
8014486;590075;2442148
8014511;614410;2409031
8014513;617837;2413327
8014514;654139;2394960
8014515;632508;2390253
8014516;658695;2440901
8014519;635700;2453085
8014521;611866;2433573
8014523;636303;2424408
8014524;581858;2431047
8014526;638995;2412513
8014545;599139;2433989
8014562;597286;2428004
8014584;590138;2424771
8014585;594029;2437005
8014593;637675;2431471
8014678;602677;2437832
8014696;587552;2443963
8014698;603804;2431546
8014700;583802;2450499
8014712;585684;2382122
8014720;603050;2427798
8014724;601387;2419821
8014725;578051;2438445
8014781;638827;2385059
8014782;567951;2440865
8014794;612890;2438851
8014819;589976;2438653
8014842;645081;2377501
8014843;569184;2445895
8014936;586052;2434497
8015041;571237;2418349
8015042;579707;2422004
8015108;592751;2433327
8015109;579986;2417658
8015127;614641;2429055
8015128;638590;2428828
8015138;601304;2431915
8015151;635892;2429436
8015214;595831;2443191
8015253;584841;2450893
8015270;592894;2437622
8015287;604671;2428155
8015288;593418;2432057
8015289;607400;2411349
8015290;599985;2418983
8015291;618753;2431353
8015300;593764;2415571
8015316;632374;2368799
8015329;587257;2408942
8015330;605631;2403649
8015385;598414;2453998
8015388;586046;2434021
8015461;599966;2433845
8015517;617191;2381805
8015558;596257;2434142
8015596;601024;2425670
8015597;591986;2432644
8015635;635573;2427446
8015714;585056;2432519
8015720;589514;2438156
